,AFG,AHO,ALG,ANZ,ARG,ARM,AUS,AUT,AZE,BAH,BAR,BDI,BEL,BER,BLR,BOH,BOT,BRA,BRN,BUL,CAN,CHI,CHN,CIV,CMR,COL,CRC,CRO,CUB,CYP,CZE,DEN,DJI,DOM,ECU,EGY,ERI,ESP,EST,ETH,EUN,FIJ,FIN,FRA,FRG,GAB,GBR,GDR,GEO,GER,GHA,GRE,GRN,GUA,GUY,HAI,HKG,HUN,INA,IND,IOA,IRI,IRL,IRQ,ISL,ISR,ISV,ITA,JAM,JOR,JPN,KAZ,KEN,KGZ,KOR,KOS,KSA,KUW,LAT,LIB,LIE,LTU,LUX,MAR,MAS,MDA,MEX,MGL,MKD,MNE,MON,MOZ,MRI,NAM,NED,NEP,NGR,NIG,NOR,NZL,PAK,PAN,PAR,PER,PHI,POL,POR,PRK,PUR,QAT,ROU,RSA,RUS,SCG,SEN,SGP,SLO,SRB,SRI,SUD,SUI,SUR,SVK,SWE,SYR,TAN,TCH,TGA,THA,TJK,TOG,TPE,TTO,TUN,TUR,UAE,UAR,UGA,UKR,URS,URU,USA,UZB,VEN,VIE,WIF,YUG,ZAM,ZIM
1896,0.0,0.0,0.0,0.0,0.0,0.0,5.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,0.0,0.0,25.0,0.0,0.0,94.0,0.0,148.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1900,0.0,0.0,0.0,0.0,1.0,0.0,6.0,26.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,9.0,0.0,3.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,36.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,1071.0,0.0,0.0,146.0,0.0,0.0,103.0,0.0,4.0,0.0,0.0,0.0,4.0,0.0,34.0,0.0,5.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73.0,0.0,0.0,0.0,29.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.0,0.0,0.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,135.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1904,0.0,0.0,0.0,0.0,0.0,0.0,6.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,6.0,0.0,0.0,55.0,0.0,17.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1109.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1906,0.0,0.0,0.0,0.0,0.0,0.0,10.0,100.0,0.0,0.0,0.0,0.0,31.0,0.0,0.0,29.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,174.0,0.0,0.0,113.0,0.0,0.0,157.0,0.0,484.0,0.0,0.0,0.0,0.0,0.0,99.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,103.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.0,0.0,0.0,0.0,55.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.0,0.0,0.0,95.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,81.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1908,0.0,0.0,0.0,48.0,1.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,99.0,0.0,0.0,41.0,0.0,0.0,0.0,0.0,148.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,107.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,94.0,319.0,0.0,0.0,972.0,0.0,0.0,148.0,0.0,49.0,0.0,0.0,0.0,0.0,0.0,107.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,97.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,218.0,0.0,0.0,0.0,103.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,276.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,219.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1912,0.0,0.0,0.0,38.0,0.0,0.0,0.0,132.0,0.0,0.0,0.0,0.0,72.0,0.0,0.0,74.0,0.0,0.0,0.0,0.0,60.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,233.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,233.0,232.0,0.0,0.0,461.0,0.0,0.0,312.0,0.0,77.0,0.0,0.0,0.0,0.0,0.0,207.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,96.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.0,0.0,0.0,0.0,263.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,8.0,0.0,0.0,0.0,0.0,56.0,266.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,7.0,0.0,0.0,714.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,364.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1920,0.0,0.0,0.0,0.0,1.0,0.0,29.0,0.0,0.0,0.0,0.0,0.0,518.0,0.0,0.0,0.0,0.0,38.0,0.0,0.0,85.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,246.0,0.0,0.0,0.0,22.0,0.0,111.0,20.0,0.0,0.0,0.0,136.0,452.0,0.0,0.0,345.0,0.0,0.0,0.0,0.0,98.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,291.0,0.0,0.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,213.0,0.0,0.0,0.0,267.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,0.0,0.0,0.0,0.0,97.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,126.0,0.0,0.0,404.0,0.0,0.0,182.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,473.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0
1924,0.0,0.0,0.0,0.0,109.0,0.0,61.0,60.0,0.0,0.0,0.0,0.0,266.0,0.0,0.0,0.0,0.0,18.0,0.0,31.0,100.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,158.0,0.0,0.0,4.0,30.0,0.0,151.0,47.0,0.0,0.0,0.0,286.0,704.0,0.0,0.0,478.0,0.0,0.0,0.0,0.0,79.0,0.0,0.0,0.0,16.0,0.0,146.0,0.0,31.0,0.0,0.0,60.0,0.0,0.0,0.0,0.0,357.0,0.0,0.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.0,0.0,0.0,13.0,122.0,0.0,0.0,0.0,28.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,246.0,1.0,0.0,0.0,141.0,6.0,0.0,0.0,0.0,0.0,2.0,115.0,47.0,0.0,0.0,0.0,45.0,44.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,301.0,0.0,0.0,297.0,0.0,0.0,273.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,0.0,0.0,0.0,0.0,0.0,40.0,500.0,0.0,0.0,0.0,0.0,123.0,0.0,0.0
1928,0.0,0.0,0.0,0.0,108.0,0.0,29.0,162.0,0.0,0.0,0.0,0.0,286.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,144.0,46.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,122.0,0.0,0.0,0.0,43.0,0.0,106.0,29.0,0.0,0.0,0.0,159.0,469.0,0.0,0.0,393.0,0.0,0.0,450.0,0.0,47.0,0.0,0.0,0.0,3.0,0.0,235.0,0.0,24.0,0.0,0.0,44.0,0.0,0.0,0.0,0.0,289.0,0.0,0.0,66.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,0.0,0.0,17.0,112.0,0.0,0.0,0.0,60.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,395.0,0.0,0.0,0.0,113.0,13.0,0.0,2.0,0.0,0.0,6.0,174.0,39.0,0.0,0.0,0.0,43.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,279.0,0.0,0.0,169.0,0.0,0.0,175.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,0.0,0.0,0.0,0.0,0.0,17.0,471.0,0.0,0.0,0.0,0.0,94.0,0.0,2.0
1932,0.0,0.0,0.0,0.0,47.0,0.0,20.0,45.0,0.0,0.0,0.0,0.0,74.0,0.0,0.0,0.0,0.0,67.0,0.0,2.0,244.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,3.0,0.0,0.0,94.0,0.0,0.0,0.0,0.0,0.0,8.0,3.0,0.0,0.0,0.0,78.0,167.0,0.0,0.0,174.0,0.0,0.0,225.0,0.0,16.0,0.0,1.0,0.0,3.0,0.0,122.0,0.0,26.0,0.0,0.0,18.0,0.0,0.0,0.0,0.0,174.0,0.0,0.0,236.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,80.0,0.0,0.0,0.0,41.0,29.0,0.0,0.0,0.0,3.0,8.0,93.0,8.0,0.0,0.0,0.0,8.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,0.0,0.0,146.0,0.0,0.0,61.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,6.0,813.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
