,GRE,FRA,USA,GBR,SWE,BEL,SUI,NED,GER,NOR,FIN,ITA,AUS,AUT,JPN,MEX,FRG,CAN,URS,YUG,KOR,ESP,CHN,RUS,BRA
1896,0.32432432432432434,,,,,,,,,,,,,,,,,,,,,,,,
1900,,0.21942110177404295,,,,,,,,,,,,,,,,,,,,,,,
1904,,,0.3552750225428314,,,,,,,,,,,,,,,,,,,,,,
1906,,,,,,,,,,,,,,,,,,,,,,,,,
1908,,,,0.3786008230452675,,,,,,,,,,,,,,,,,,,,,
1912,,,,,0.2661064425770308,,,,,,,,,,,,,,,,,,,,
1920,,,,,,0.36293436293436293,,,,,,,,,,,,,,,,,,,
1924,,0.17045454545454544,,,,,,,,,,,,,,,,,,,,,,,
1928,,,,,,,0.15053763440860216,0.14430379746835442,,,,,,,,,,,,,,,,,
1932,,,0.2742927429274293,,,,,,,,,,,,,,,,,,,,,,
1936,,,,,,,,,0.35648148148148145,,,,,,,,,,,,,,,,
1948,,,,0.09431137724550898,,,0.16580310880829016,,,,,,,,,,,,,,,,,,
1952,,,,,,,,,,0.10996563573883161,0.10721649484536082,,,,,,,,,,,,,,
1956,,,,,,,,,,,,0.18333333333333332,0.1561771561771562,,,,,,,,,,,,
1960,,,0.2851782363977486,,,,,,,,,0.1934782608695652,,,,,,,,,,,,,
1964,,,,,,,,,,,,,,0.08585858585858586,0.11460258780036968,,,,,,,,,,
1968,,0.08391608391608392,,,,,,,,,,,,,,0.020179372197309416,,,,,,,,,
1972,,,,,,,,,,,,,,,0.13817330210772832,,0.15796897038081806,,,,,,,,
1976,,,,,,,,,,,,,,0.042328042328042326,,,,0.040625,,,,,,,
1980,,,0.1935483870967742,,,,,,,,,,,,,,,,0.6286438529784537,,,,,,
1984,,,0.425206124852768,,,,,,,,,,,,,,,,,0.3271375464684015,,,,,
1988,,,,,,,,,,,,,,,,,,0.04184704184704185,,,0.12685337726523888,,,,
1992,,0.10298507462686567,,,,,,,,,,,,,,,,,,,,0.12027491408934708,,,
1994,,,,,,,,,,0.18867924528301888,,,,,,,,,,,,,,,
1996,,,0.30870083432657924,,,,,,,,,,,,,,,,,,,,,,
1998,,,,,,,,,,,,,,,0.053061224489795916,,,,,,,,,,
2000,,,,,,,,,,,,,0.23223350253807107,,,,,,,,,,,,
2002,,,0.268370607028754,,,,,,,,,,,,,,,,,,,,,,
2004,0.06212424849699399,,,,,,,,,,,,,,,,,,,,,,,,
2006,,,,,,,,,,,,0.08620689655172414,,,,,,,,,,,,,
2008,,,,,,,,,,,,,,,,,,,,,,,0.25205479452054796,,
2010,,,,,,,,,,,,,,,,,,0.2922077922077922,,,,,,,
2012,,,,0.18421052631578946,,,,,,,,,,,,,,,,,,,,,
2014,,,,,,,,,,,,,,,,,,,,,,,,0.19263456090651557,
2016,,,,,,,,,,,,,,,,,,,,,,,,,0.08576329331046312
