,GRE,FRA,USA,GBR,SWE,BEL,SUI,NED,GER,NOR,FIN,ITA,AUS,AUT,JPN,MEX,FRG,CAN,URS,YUG,KOR,ESP,CHN,RUS,BRA
1896,,0.4230769230769231,0.7407407407407407,0.36,0.0,,0.375,,0.3404255319148936,,,0.0,0.6,0.625,,,,,,,,,,,
1900,0.0,,0.4666666666666667,0.7397260273972602,0.14814814814814814,0.43,0.40384615384615385,0.3698630136986301,0.4368932038834951,0.3103448275862069,,0.1388888888888889,1.0,0.23076923076923078,,1.0,,0.2857142857142857,,,,0.16666666666666666,,0.0,0.0
1904,0.11764705882352941,1.0,,0.3333333333333333,,,0.42857142857142855,,0.2909090909090909,0.3333333333333333,,0.0,0.6666666666666666,0.5714285714285714,,,,0.7868852459016393,,,,,,,
1906,0.21074380165289255,0.367816091954023,0.2962962962962963,0.34513274336283184,0.22105263157894736,0.3548387096774194,0.26666666666666666,0.12244897959183673,0.1910828025477707,0.45454545454545453,0.2222222222222222,0.5436893203883495,0.3,0.09,,,,0.5,,,,,,,
1908,0.08163265306122448,0.12539184952978055,0.2968036529680365,,0.30434782608695654,0.3333333333333333,0.0,0.07339449541284404,0.14189189189189189,0.4077669902912621,0.3191489361702128,0.08247422680412371,,0.07692307692307693,,,,0.35135135135135137,,,,,,0.42857142857142855,
1912,0.025974025974025976,0.11206896551724138,0.29395604395604397,0.368763557483731,,0.2638888888888889,0.2857142857142857,0.5777777777777777,0.16987179487179488,0.3041825095057034,0.30472103004291845,0.2604166666666667,,0.10606060606060606,0.0,,,0.13333333333333333,,,,,,0.05263157894736842,
1920,0.05102040816326531,0.31194690265486724,0.41014799154334036,0.3217391304347826,0.3811881188118812,,0.23015873015873015,0.2347417840375587,,0.5131086142322098,0.38235294117647056,0.28865979381443296,0.2413793103448276,,0.11538461538461539,,,0.18823529411764706,,0.0,,0.2072072072072072,,,0.18421052631578946
1924,0.012658227848101266,,0.388,0.19874476987447698,0.2727272727272727,0.16541353383458646,0.2292358803986711,0.10975609756097561,,0.2765957446808511,0.23426573426573427,0.14285714285714285,0.18032786885245902,0.13333333333333333,0.02702702702702703,0.0,,0.29,,0.016260162601626018,,0.0,,0.0,0.0
1928,0.0,0.11087420042643924,0.21656050955414013,0.15012722646310434,0.3136094674556213,0.02097902097902098,,,0.18222222222222223,0.21238938053097345,0.18238993710691823,0.2491349480968858,0.13793103448275862,0.06790123456790123,0.13636363636363635,0.0,,0.3125,,0.1276595744680851,,0.02830188679245283,,,
1932,0.0,0.25149700598802394,,0.20114942528735633,0.23972602739726026,0.013513513513513514,0.14285714285714285,0.1625,0.25333333333333335,0.24390243902439024,0.41025641025641024,0.4425287356321839,0.25,0.15555555555555556,0.13135593220338984,0.02,,0.24180327868852458,,0.0,,0.125,0.0,,0.0
1936,0.0,0.13353115727002968,0.19964349376114082,0.18275862068965518,0.16728624535315986,0.05785123966942149,0.16893732970027248,0.15040650406504066,,0.3511450381679389,0.16216216216216217,0.19143576826196473,0.023809523809523808,0.13793103448275862,0.06149732620320856,0.5,,0.16826923076923078,,0.005076142131979695,,0.0,0.0,,0.0
1948,0.0,0.15618661257606492,0.32245681381957775,,0.3003412969283277,0.1044776119402985,,0.2079207920792079,,0.18023255813953487,0.16153846153846155,0.17391304347826086,0.1553398058252427,0.04953560371517028,,0.06040268456375839,,0.09361702127659574,,0.08333333333333333,0.03636363636363636,0.03125,0.0,,0.09523809523809523
1952,0.0,0.09050772626931568,0.29981718464351004,0.07339449541284404,0.2071269487750557,0.04020100502512563,0.11926605504587157,0.10344827586206896,0.11764705882352941,,,0.1308411214953271,0.12578616352201258,0.035256410256410256,0.0759493670886076,0.011764705882352941,,0.09813084112149532,0.25942350332594233,0.11822660098522167,0.09090909090909091,0.018867924528301886,0.0,,0.025210084033613446
1956,0.045454545454545456,0.11827956989247312,0.27850467289719627,0.13068181818181818,0.17562724014336917,0.022727272727272728,0.1326530612244898,0.0,0.15384615384615385,0.0660377358490566,0.19095477386934673,,,0.1111111111111111,0.10080645161290322,0.05555555555555555,,0.19306930693069307,0.4186991869918699,0.3150684931506849,0.043478260869565216,0.0,,,0.015873015873015872
1960,0.05084745762711865,0.03588516746411483,,0.06542056074766354,0.048484848484848485,0.02666666666666667,0.05363984674329502,0.028901734104046242,0.18317757009345795,0.10476190476190476,0.06484641638225255,,0.14465408805031446,0.0375,0.08831908831908832,0.00909090909090909,,0.13953488372093023,0.4178217821782178,0.0918918918918919,0.0,0.056,,,0.1511627906976744
1964,0.0,0.14393939393939395,0.2859450726978998,0.08196721311475409,0.15467625899280577,0.03529411764705882,0.02575107296137339,0.19411764705882353,0.20257234726688103,0.11278195488721804,0.08403361344537816,0.17478510028653296,0.10837438423645321,,,0.0078125,,0.04152249134948097,0.387719298245614,0.0847457627118644,0.01171875,0.0,,,0.18461538461538463
1968,0.019230769230769232,,0.2605421686746988,0.04846938775510204,0.08389261744966443,0.02830188679245283,0.10138248847926268,0.13855421686746988,,0.14507772020725387,0.05429864253393665,0.11815561959654179,0.22077922077922077,0.11695906432748537,0.1640625,,0.10720562390158173,0.07462686567164178,0.38682432432432434,0.16477272727272727,0.025,0.0,,,0.0449438202247191
1972,0.027777777777777776,0.058823529411764705,0.2689655172413793,0.057539682539682536,0.09059233449477352,0.01834862385321101,0.07267441860465117,0.06666666666666667,,0.09090909090909091,0.09259259259259259,0.0821256038647343,0.07194244604316546,0.037914691943127965,,0.0035587188612099642,,0.027972027972027972,0.39907550077041604,0.07407407407407407,0.018518518518518517,0.011834319526627219,,,0.019230769230769232
1976,0.0,0.05817174515235457,0.24822695035460993,0.07801418439716312,0.04979253112033195,0.05625,0.10160427807486631,0.10101010101010101,,0.1,0.11764705882352941,0.08620689655172414,0.07849829351535836,,0.09879518072289156,0.014598540145985401,0.19748653500897667,,0.4920863309352518,0.13970588235294118,0.2833333333333333,0.03508771929824561,,,0.033707865168539325
1980,0.09803921568627451,0.12295081967213115,,0.1188118811881188,0.13870967741935483,0.011111111111111112,0.06918238993710692,0.06289308176100629,,0.15,0.1,0.1444043321299639,0.06220095693779904,0.08227848101265822,0.0125,0.13513513513513514,0.06779661016949153,0.023255813953488372,,0.2753623188405797,0.0,0.10619469026548672,0.0,,0.06040268456375839
1984,0.023255813953488372,0.170316301703163,,0.12436115843270869,0.18181818181818182,0.05263157894736842,0.06481481481481481,0.19158878504672897,,0.08296943231441048,0.1657754010695187,0.13402061855670103,0.14565826330532214,0.01702127659574468,0.11363636363636363,0.0379746835443038,0.2402315484804631,0.13725490196078433,0.3916083916083916,,0.1474820143884892,0.0673758865248227,0.18829516539440203,,0.18274111675126903
1988,0.011494252873563218,0.058712121212121215,0.23464912280701755,0.09523809523809523,0.1220159151193634,0.023255813953488372,0.10108303249097472,0.2290748898678414,,0.17010309278350516,0.19689119170984457,0.07724425887265135,0.09333333333333334,0.05220883534136546,0.04,0.012121212121212121,0.19225037257824143,,0.45807259073842305,0.2974137931034483,,0.014450867052023121,0.11764705882352941,,0.09871244635193133
1992,0.0196078431372549,,0.24586776859504134,0.08305647840531562,0.10824742268041238,0.02727272727272727,0.02666666666666667,0.12457912457912458,0.2789598108747045,0.17407407407407408,0.08196721311475409,0.10801963993453355,0.13225058004640372,0.14112903225806453,0.11174242424242424,0.005747126436781609,,0.12678288431061807,,0.0,0.14775725593667546,,0.18162393162393162,,0.05622489959839357
1994,0.0,0.0650887573964497,0.08016877637130802,0.058823529411764705,0.15894039735099338,0.0,0.1509433962264151,0.09302325581395349,0.21739130434782608,,0.26785714285714285,0.16580310880829016,0.0851063829787234,0.09230769230769231,0.08,0.0,,0.2483221476510067,,,0.2,0.0,0.06976744186046512,0.17307692307692307,0.0
1996,0.044444444444444446,0.11258278145695365,,0.06649616368286446,0.13304721030042918,0.07407407407407407,0.06395348837209303,0.2517241379310345,0.19808306709265175,0.19827586206896552,0.0380952380952381,0.15434782608695652,0.24,0.03260869565217391,0.09375,0.009009009009009009,,0.12254901960784313,,,0.15827338129496402,0.171875,0.2420091324200913,0.20833333333333334,0.250996015936255
1998,0.0,0.09433962264150944,0.11971830985915492,0.08888888888888889,0.04794520547945205,0.3333333333333333,0.11864406779661017,0.22916666666666666,0.20276497695852536,0.2684563758389262,0.4393939393939394,0.09497206703910614,0.029411764705882353,0.12987012987012986,,,,0.23557692307692307,,,0.1518987341772152,0.0,0.1590909090909091,0.2639593908629442,0.0
2000,0.10285714285714286,0.14042553191489363,0.31675392670157065,0.13012048192771083,0.16161616161616163,0.07446808510638298,0.10144927536231885,0.2771929824561403,0.20811287477954143,0.3739130434782609,0.056818181818181816,0.1422319474835886,,0.03508771929824561,0.12121212121212122,0.061224489795918366,,0.07345971563981042,,,0.20334261838440112,0.09744779582366589,0.19082125603864733,0.3106312292358804,0.2033898305084746
2002,0.0,0.08522727272727272,,0.08571428571428572,0.16352201257861634,0.0,0.1437125748502994,0.16326530612244897,0.23552123552123552,0.2469879518072289,0.07878787878787878,0.10606060606060606,0.04878048780487805,0.13513513513513514,0.009852216748768473,0.0,,0.34418604651162793,,,0.08045977011494253,0.0,0.14814814814814814,0.15833333333333333,0.0
2004,,0.11496746203904555,0.3622589531680441,0.15833333333333333,0.07643312101910828,0.04285714285714286,0.050724637681159424,0.2916666666666667,0.2516891891891892,0.11666666666666667,0.029850746268656716,0.21940928270042195,0.2612312811980033,0.08695652173913043,0.2246376811594203,0.029197080291970802,,0.043478260869565216,,,0.1511627906976744,0.07092198581560284,0.18146718146718147,0.31871838111298484,0.12578616352201258
2006,0.0,0.09433962264150944,0.16,0.018518518518518517,0.38095238095238093,0.0,0.11602209944751381,0.20634920634920634,0.20532319391634982,0.14285714285714285,0.29285714285714287,,0.044444444444444446,0.22727272727272727,0.005263157894736842,,,0.2262295081967213,,,0.2235294117647059,0.0,0.08904109589041095,0.14487632508833923,0.0
2008,0.03977272727272727,0.171875,0.41546526867627787,0.19285714285714287,0.04142011834319527,0.044642857142857144,0.09482758620689655,0.21554770318021202,0.1774193548387097,0.21568627450980393,0.07142857142857142,0.0915032679738562,0.2614035087719298,0.03225806451612903,0.11159737417943107,0.038834951456310676,,0.0779510022271715,,,0.23708206686930092,0.19718309859154928,,0.23666666666666666,0.23076923076923078
2010,0.0,0.07142857142857142,0.2844574780058651,0.01282051282051282,0.10465116279069768,0.0,0.06315789473684211,0.16923076923076924,0.2084942084942085,0.20526315789473684,0.3219178082191781,0.02403846153846154,0.061224489795918366,0.19696969696969696,0.0457516339869281,0.0,,,,,0.21428571428571427,0.0,0.14960629921259844,0.08960573476702509,0.0
